,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.34,0.666,7,-8.022,1,0.0486,0.0223,0.274,0.319,0.793,176.911,audio_features,5jqq7sMWaYEEcpz1MPQGcD,spotify:track:5jqq7sMWaYEEcpz1MPQGcD,https://api.spotify.com/v1/tracks/5jqq7sMWaYEEcpz1MPQGcD,https://api.spotify.com/v1/audio-analysis/5jqq7sMWaYEEcpz1MPQGcD,394160,3,Blue Moon - No Regular Play Remix,spotify:track:5jqq7sMWaYEEcpz1MPQGcD,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
1,0.8,0.718,2,-9.184,1,0.0526,0.00415,0.833,0.582,0.069,115.0,audio_features,0U0hN2GEQP5lG0Mg6xqYNY,spotify:track:0U0hN2GEQP5lG0Mg6xqYNY,https://api.spotify.com/v1/tracks/0U0hN2GEQP5lG0Mg6xqYNY,https://api.spotify.com/v1/audio-analysis/0U0hN2GEQP5lG0Mg6xqYNY,228080,4,Raindrops (feat. Monica Birkenes & Simón Mejía) - Simon Mejia Remix,spotify:track:0U0hN2GEQP5lG0Mg6xqYNY,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
2,0.801,0.968,0,-7.436,1,0.0466,0.000639,0.891,0.04,0.392,123.016,audio_features,1ktcgfiNRIotiNBcRvou73,spotify:track:1ktcgfiNRIotiNBcRvou73,https://api.spotify.com/v1/tracks/1ktcgfiNRIotiNBcRvou73,https://api.spotify.com/v1/audio-analysis/1ktcgfiNRIotiNBcRvou73,392840,4,Something's Missing - Tom & Collins Remix,spotify:track:1ktcgfiNRIotiNBcRvou73,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
3,0.738,0.888,2,-7.084,1,0.0538,1.3e-05,0.887,0.475,0.674,114.99,audio_features,4LioFR9aT2fCofTMjxV7UR,spotify:track:4LioFR9aT2fCofTMjxV7UR,https://api.spotify.com/v1/tracks/4LioFR9aT2fCofTMjxV7UR,https://api.spotify.com/v1/audio-analysis/4LioFR9aT2fCofTMjxV7UR,324800,4,Raindrops (feat. Monica Birkenes & Turbotito) - Turbotito Remix,spotify:track:4LioFR9aT2fCofTMjxV7UR,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
4,0.729,0.939,7,-7.064,0,0.0365,0.0202,0.56,0.126,0.801,119.992,audio_features,0qvV9Q6hfpoZNB1yZOAwH7,spotify:track:0qvV9Q6hfpoZNB1yZOAwH7,https://api.spotify.com/v1/tracks/0qvV9Q6hfpoZNB1yZOAwH7,https://api.spotify.com/v1/audio-analysis/0qvV9Q6hfpoZNB1yZOAwH7,294533,4,Enumerar (feat. CLUBZ & Alejandro Paz) - Alejandro Paz Remix,spotify:track:0qvV9Q6hfpoZNB1yZOAwH7,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
5,0.643,0.592,9,-10.003,1,0.0487,0.0179,0.74,0.0931,0.148,113.944,audio_features,7GuAADuEMYDi80dD9nohWc,spotify:track:7GuAADuEMYDi80dD9nohWc,https://api.spotify.com/v1/tracks/7GuAADuEMYDi80dD9nohWc,https://api.spotify.com/v1/audio-analysis/7GuAADuEMYDi80dD9nohWc,291760,4,JJ (feat. Turbotito & Nuclear Digital Transistor) - Nuclear Digital Transistor Remix,spotify:track:7GuAADuEMYDi80dD9nohWc,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
6,0.652,0.817,7,-8.974,1,0.0351,0.0155,0.932,0.0401,0.829,123.002,audio_features,5HQQi406JCX45GW9G3A95G,spotify:track:5HQQi406JCX45GW9G3A95G,https://api.spotify.com/v1/tracks/5HQQi406JCX45GW9G3A95G,https://api.spotify.com/v1/audio-analysis/5HQQi406JCX45GW9G3A95G,361733,4,Raindrops (feat. Monica Birkenes & Dude Skywalker) - Dude Skywalker Remix,spotify:track:5HQQi406JCX45GW9G3A95G,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
7,0.738,0.675,2,-10.438,1,0.0433,0.0182,0.828,0.0483,0.503,99.993,audio_features,3vAtI5p8F4FgmoYGcOU1J9,spotify:track:3vAtI5p8F4FgmoYGcOU1J9,https://api.spotify.com/v1/tracks/3vAtI5p8F4FgmoYGcOU1J9,https://api.spotify.com/v1/audio-analysis/3vAtI5p8F4FgmoYGcOU1J9,365187,4,The Slow End - No Tell Remix,spotify:track:3vAtI5p8F4FgmoYGcOU1J9,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
8,0.676,0.4,9,-9.935,1,0.037,0.016,0.789,0.134,0.0379,105.01,audio_features,2646XnLtsEUrySG6SRSwrc,spotify:track:2646XnLtsEUrySG6SRSwrc,https://api.spotify.com/v1/tracks/2646XnLtsEUrySG6SRSwrc,https://api.spotify.com/v1/audio-analysis/2646XnLtsEUrySG6SRSwrc,233947,4,Timeless - BulbMakers Remix,spotify:track:2646XnLtsEUrySG6SRSwrc,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
9,0.758,0.664,7,-10.429,0,0.05,0.118,0.477,0.0988,0.517,119.001,audio_features,2RJK66MPwn4WbXTweaCdEG,spotify:track:2RJK66MPwn4WbXTweaCdEG,https://api.spotify.com/v1/tracks/2RJK66MPwn4WbXTweaCdEG,https://api.spotify.com/v1/audio-analysis/2RJK66MPwn4WbXTweaCdEG,396773,4,Blue Moon - Vagabundo Club Social Remix,spotify:track:2RJK66MPwn4WbXTweaCdEG,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
10,0.833,0.616,2,-8.39,0,0.0535,0.000998,0.896,0.0871,0.173,121.494,audio_features,1Yeywp6VXh0jvHPhwYtBk5,spotify:track:1Yeywp6VXh0jvHPhwYtBk5,https://api.spotify.com/v1/tracks/1Yeywp6VXh0jvHPhwYtBk5,https://api.spotify.com/v1/audio-analysis/1Yeywp6VXh0jvHPhwYtBk5,261827,4,Something's Missing - Obregøn Remix,spotify:track:1Yeywp6VXh0jvHPhwYtBk5,MNKYBSNSS,7y93Bo1cpaMwqTCIxzVWFa
