,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.752,0.459,10,-12.285,0,0.0692,0.017,0.784,0.0918,0.38,139.45,audio_features,79Jl8KMvmnXedTjjW6pJan,spotify:track:79Jl8KMvmnXedTjjW6pJan,https://api.spotify.com/v1/tracks/79Jl8KMvmnXedTjjW6pJan,https://api.spotify.com/v1/audio-analysis/79Jl8KMvmnXedTjjW6pJan,291019,4,Gosh,spotify:track:79Jl8KMvmnXedTjjW6pJan,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
1,0.74,0.463,5,-13.709,0,0.0414,0.652,0.896,0.416,0.107,118.184,audio_features,7H2adPObEX0T4sYTPzm6vK,spotify:track:7H2adPObEX0T4sYTPzm6vK,https://api.spotify.com/v1/tracks/7H2adPObEX0T4sYTPzm6vK,https://api.spotify.com/v1/audio-analysis/7H2adPObEX0T4sYTPzm6vK,232623,4,Sleep Sound,spotify:track:7H2adPObEX0T4sYTPzm6vK,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
2,0.624,0.679,9,-11.886,0,0.0353,0.267,0.841,0.679,0.191,125.031,audio_features,0vduvDIA5KjiidpVFRJfpG,spotify:track:0vduvDIA5KjiidpVFRJfpG,https://api.spotify.com/v1/tracks/0vduvDIA5KjiidpVFRJfpG,https://api.spotify.com/v1/audio-analysis/0vduvDIA5KjiidpVFRJfpG,268788,4,SeeSaw,spotify:track:0vduvDIA5KjiidpVFRJfpG,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
3,0.652,0.392,5,-12.603,0,0.0381,0.857,0.926,0.0817,0.407,76.03,audio_features,5kSBstWdaP3tMlArgGM00C,spotify:track:5kSBstWdaP3tMlArgGM00C,https://api.spotify.com/v1/tracks/5kSBstWdaP3tMlArgGM00C,https://api.spotify.com/v1/audio-analysis/5kSBstWdaP3tMlArgGM00C,231040,4,Obvs,spotify:track:5kSBstWdaP3tMlArgGM00C,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
4,0.277,0.196,8,-17.386,0,0.0497,0.956,0.852,0.164,0.0389,133.557,audio_features,30zCbdl0WjMoyCuE3AZyNC,spotify:track:30zCbdl0WjMoyCuE3AZyNC,https://api.spotify.com/v1/tracks/30zCbdl0WjMoyCuE3AZyNC,https://api.spotify.com/v1/audio-analysis/30zCbdl0WjMoyCuE3AZyNC,83898,5,Just Saying,spotify:track:30zCbdl0WjMoyCuE3AZyNC,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
5,0.666,0.157,0,-17.26,0,0.0458,0.978,0.385,0.105,0.334,129.995,audio_features,0BM8dybPPJTsuZ21XmRsyA,spotify:track:0BM8dybPPJTsuZ21XmRsyA,https://api.spotify.com/v1/tracks/0BM8dybPPJTsuZ21XmRsyA,https://api.spotify.com/v1/audio-analysis/0BM8dybPPJTsuZ21XmRsyA,177511,4,Stranger In A Room,spotify:track:0BM8dybPPJTsuZ21XmRsyA,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
6,0.576,0.782,1,-10.121,1,0.0388,0.607,0.934,0.111,0.111,125.505,audio_features,2MUYbhDpbSgvkVvnBAOkR7,spotify:track:2MUYbhDpbSgvkVvnBAOkR7,https://api.spotify.com/v1/tracks/2MUYbhDpbSgvkVvnBAOkR7,https://api.spotify.com/v1/audio-analysis/2MUYbhDpbSgvkVvnBAOkR7,243400,4,Hold Tight,spotify:track:2MUYbhDpbSgvkVvnBAOkR7,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
7,0.646,0.63,8,-10.748,0,0.0435,0.00462,0.27,0.122,0.164,109.018,audio_features,1jy7SkRcmBCTcv4ZMtwz29,spotify:track:1jy7SkRcmBCTcv4ZMtwz29,https://api.spotify.com/v1/tracks/1jy7SkRcmBCTcv4ZMtwz29,https://api.spotify.com/v1/audio-analysis/1jy7SkRcmBCTcv4ZMtwz29,283067,4,Loud Places,spotify:track:1jy7SkRcmBCTcv4ZMtwz29,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
8,0.657,0.597,11,-9.919,0,0.168,0.12,0.0,0.477,0.486,89.606,audio_features,2fHFLyzAQYlguX5q0DfKlD,spotify:track:2fHFLyzAQYlguX5q0DfKlD,https://api.spotify.com/v1/tracks/2fHFLyzAQYlguX5q0DfKlD,https://api.spotify.com/v1/audio-analysis/2fHFLyzAQYlguX5q0DfKlD,213622,4,I Know There's Gonna Be (Good Times),spotify:track:2fHFLyzAQYlguX5q0DfKlD,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
9,0.68,0.664,0,-11.117,0,0.0433,0.59,0.865,0.276,0.324,124.987,audio_features,3qeTNLkCMklHPv0vGOknmQ,spotify:track:3qeTNLkCMklHPv0vGOknmQ,https://api.spotify.com/v1/tracks/3qeTNLkCMklHPv0vGOknmQ,https://api.spotify.com/v1/audio-analysis/3qeTNLkCMklHPv0vGOknmQ,298305,4,The Rest Is Noise,spotify:track:3qeTNLkCMklHPv0vGOknmQ,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
10,0.359,0.603,8,-11.608,0,0.347,0.231,0.624,0.197,0.467,101.645,audio_features,4x94qgTeMEcwj4X1APUnpb,spotify:track:4x94qgTeMEcwj4X1APUnpb,https://api.spotify.com/v1/tracks/4x94qgTeMEcwj4X1APUnpb,https://api.spotify.com/v1/audio-analysis/4x94qgTeMEcwj4X1APUnpb,245586,4,Girl,spotify:track:4x94qgTeMEcwj4X1APUnpb,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
11,0.419,0.521,2,-10.875,1,0.247,0.0366,0.146,0.0923,0.386,141.964,audio_features,7IXPMjyqY7J3vjCKMQWjIm,spotify:track:7IXPMjyqY7J3vjCKMQWjIm,https://api.spotify.com/v1/tracks/7IXPMjyqY7J3vjCKMQWjIm,https://api.spotify.com/v1/audio-analysis/7IXPMjyqY7J3vjCKMQWjIm,206800,4,I'm New Here,spotify:track:7IXPMjyqY7J3vjCKMQWjIm,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
12,0.491,0.516,2,-9.914,1,0.351,0.579,0.243,0.115,0.424,174.414,audio_features,6syjFqz5aVSD1SNdvxd3UF,spotify:track:6syjFqz5aVSD1SNdvxd3UF,https://api.spotify.com/v1/tracks/6syjFqz5aVSD1SNdvxd3UF,https://api.spotify.com/v1/audio-analysis/6syjFqz5aVSD1SNdvxd3UF,191227,5,Home,spotify:track:6syjFqz5aVSD1SNdvxd3UF,Jamie xx,7A0awCXkE1FtSU8B0qwOJQ
