,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.664,0.332,9,-7.568,0,0.0324,0.188,0.0219,0.404,0.374,90.096,audio_features,3Coi0lRFtXwJOerL5Jmlzm,spotify:track:3Coi0lRFtXwJOerL5Jmlzm,https://api.spotify.com/v1/tracks/3Coi0lRFtXwJOerL5Jmlzm,https://api.spotify.com/v1/audio-analysis/3Coi0lRFtXwJOerL5Jmlzm,251562,4,Another Night,spotify:track:3Coi0lRFtXwJOerL5Jmlzm,Two Another,35RvGPQ1OxbEZknWyiaAcs
1,0.691,0.657,5,-8.503,0,0.0915,0.0341,0.0,0.273,0.506,95.008,audio_features,5MWlEXlthgFyOO6TCDCoiC,spotify:track:5MWlEXlthgFyOO6TCDCoiC,https://api.spotify.com/v1/tracks/5MWlEXlthgFyOO6TCDCoiC,https://api.spotify.com/v1/audio-analysis/5MWlEXlthgFyOO6TCDCoiC,217751,4,Elevate,spotify:track:5MWlEXlthgFyOO6TCDCoiC,Two Another,35RvGPQ1OxbEZknWyiaAcs
2,0.733,0.49,0,-8.299,1,0.0504,0.261,0.067,0.116,0.346,91.039,audio_features,2x0ivMogt4bacOUrPLPMSc,spotify:track:2x0ivMogt4bacOUrPLPMSc,https://api.spotify.com/v1/tracks/2x0ivMogt4bacOUrPLPMSc,https://api.spotify.com/v1/audio-analysis/2x0ivMogt4bacOUrPLPMSc,222743,4,One Night,spotify:track:2x0ivMogt4bacOUrPLPMSc,Two Another,35RvGPQ1OxbEZknWyiaAcs
3,0.54,0.497,5,-9.14,0,0.138,0.12,0.0041,0.119,0.563,179.905,audio_features,3RLiaMsrKkQ9A2sSHXJBRo,spotify:track:3RLiaMsrKkQ9A2sSHXJBRo,https://api.spotify.com/v1/tracks/3RLiaMsrKkQ9A2sSHXJBRo,https://api.spotify.com/v1/audio-analysis/3RLiaMsrKkQ9A2sSHXJBRo,247253,4,Be Alone,spotify:track:3RLiaMsrKkQ9A2sSHXJBRo,Two Another,35RvGPQ1OxbEZknWyiaAcs
4,0.773,0.521,5,-9.715,0,0.0608,0.177,4.88e-05,0.155,0.536,114.894,audio_features,2jtj92z07TreEHGvZMiHgN,spotify:track:2jtj92z07TreEHGvZMiHgN,https://api.spotify.com/v1/tracks/2jtj92z07TreEHGvZMiHgN,https://api.spotify.com/v1/audio-analysis/2jtj92z07TreEHGvZMiHgN,212662,4,Feeling Free,spotify:track:2jtj92z07TreEHGvZMiHgN,Two Another,35RvGPQ1OxbEZknWyiaAcs
5,0.743,0.576,10,-10.055,0,0.223,0.609,0.00197,0.134,0.687,97.033,audio_features,3mhIIIu85wA2sEnI1eqaWZ,spotify:track:3mhIIIu85wA2sEnI1eqaWZ,https://api.spotify.com/v1/tracks/3mhIIIu85wA2sEnI1eqaWZ,https://api.spotify.com/v1/audio-analysis/3mhIIIu85wA2sEnI1eqaWZ,198524,4,Stronger,spotify:track:3mhIIIu85wA2sEnI1eqaWZ,Two Another,35RvGPQ1OxbEZknWyiaAcs
6,0.468,0.518,5,-6.872,1,0.061,0.292,7.59e-05,0.234,0.508,114.817,audio_features,3yCWcwxEhXB92IrKTUmdZ9,spotify:track:3yCWcwxEhXB92IrKTUmdZ9,https://api.spotify.com/v1/tracks/3yCWcwxEhXB92IrKTUmdZ9,https://api.spotify.com/v1/audio-analysis/3yCWcwxEhXB92IrKTUmdZ9,200966,4,My Religion,spotify:track:3yCWcwxEhXB92IrKTUmdZ9,Two Another,35RvGPQ1OxbEZknWyiaAcs
7,0.628,0.238,9,-7.718,0,0.0292,0.844,1.19e-06,0.139,0.266,90.225,audio_features,75x9ObVIVztcLb9EFF6Kn7,spotify:track:75x9ObVIVztcLb9EFF6Kn7,https://api.spotify.com/v1/tracks/75x9ObVIVztcLb9EFF6Kn7,https://api.spotify.com/v1/audio-analysis/75x9ObVIVztcLb9EFF6Kn7,207180,4,Another Night - Acoustic,spotify:track:75x9ObVIVztcLb9EFF6Kn7,Two Another,35RvGPQ1OxbEZknWyiaAcs
8,0.628,0.42,1,-10.068,1,0.0947,0.00766,0.0057,0.335,0.531,179.968,audio_features,4wiJUPiT9vHj83d3ii2pIE,spotify:track:4wiJUPiT9vHj83d3ii2pIE,https://api.spotify.com/v1/tracks/4wiJUPiT9vHj83d3ii2pIE,https://api.spotify.com/v1/audio-analysis/4wiJUPiT9vHj83d3ii2pIE,247916,4,Be Alone - Live at Paradiso,spotify:track:4wiJUPiT9vHj83d3ii2pIE,Two Another,35RvGPQ1OxbEZknWyiaAcs
9,0.731,0.708,5,-5.865,0,0.0999,0.0129,0.00111,0.129,0.543,115.066,audio_features,4Ysa7nuqgB5CIzLzkp3qDb,spotify:track:4Ysa7nuqgB5CIzLzkp3qDb,https://api.spotify.com/v1/tracks/4Ysa7nuqgB5CIzLzkp3qDb,https://api.spotify.com/v1/audio-analysis/4Ysa7nuqgB5CIzLzkp3qDb,212737,4,Feeling Free - With Pretty Boy Aaron,spotify:track:4Ysa7nuqgB5CIzLzkp3qDb,Two Another,35RvGPQ1OxbEZknWyiaAcs
10,0.814,0.591,0,-7.688,1,0.0522,0.00129,0.521,0.155,0.535,106.98,audio_features,1IlzXGxo18asOPWx3Q7GWM,spotify:track:1IlzXGxo18asOPWx3Q7GWM,https://api.spotify.com/v1/tracks/1IlzXGxo18asOPWx3Q7GWM,https://api.spotify.com/v1/audio-analysis/1IlzXGxo18asOPWx3Q7GWM,193893,4,Another Night - bad tuner Remix,spotify:track:1IlzXGxo18asOPWx3Q7GWM,Two Another,35RvGPQ1OxbEZknWyiaAcs
11,0.509,0.666,10,-9.875,0,0.212,0.062,0.254,0.342,0.56,89.514,audio_features,2I0os6LqPN8RvDdaBg2xba,spotify:track:2I0os6LqPN8RvDdaBg2xba,https://api.spotify.com/v1/tracks/2I0os6LqPN8RvDdaBg2xba,https://api.spotify.com/v1/audio-analysis/2I0os6LqPN8RvDdaBg2xba,258797,4,Be Alone - O'Flynn Remix,spotify:track:2I0os6LqPN8RvDdaBg2xba,Two Another,35RvGPQ1OxbEZknWyiaAcs
12,0.781,0.573,1,-7.334,1,0.172,0.493,0.0145,0.0926,0.567,97.029,audio_features,78wCI7z7na9whhJoF6N2d2,spotify:track:78wCI7z7na9whhJoF6N2d2,https://api.spotify.com/v1/tracks/78wCI7z7na9whhJoF6N2d2,https://api.spotify.com/v1/audio-analysis/78wCI7z7na9whhJoF6N2d2,228347,4,Stronger - Dan D'Lion Remix,spotify:track:78wCI7z7na9whhJoF6N2d2,Two Another,35RvGPQ1OxbEZknWyiaAcs
13,0.664,0.332,9,-7.568,0,0.0324,0.188,0.0219,0.404,0.374,90.096,audio_features,6pmlFbol434exoaU4J4z6r,spotify:track:6pmlFbol434exoaU4J4z6r,https://api.spotify.com/v1/tracks/6pmlFbol434exoaU4J4z6r,https://api.spotify.com/v1/audio-analysis/6pmlFbol434exoaU4J4z6r,251562,4,Another Night,spotify:track:6pmlFbol434exoaU4J4z6r,Two Another,35RvGPQ1OxbEZknWyiaAcs
