,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.477,0.421,5,-9.862,0,0.0301,0.257,0.367,0.386,0.14,69.984,audio_features,7mtyWVKiQsDJX5sMWwhDkR,spotify:track:7mtyWVKiQsDJX5sMWwhDkR,https://api.spotify.com/v1/tracks/7mtyWVKiQsDJX5sMWwhDkR,https://api.spotify.com/v1/audio-analysis/7mtyWVKiQsDJX5sMWwhDkR,302356,4,Cut My Heart Out,spotify:track:7mtyWVKiQsDJX5sMWwhDkR,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
1,0.62,0.44,0,-8.703,1,0.0338,0.177,0.239,0.382,0.51,70.008,audio_features,4pjFmJaqm60KABVLLACSmr,spotify:track:4pjFmJaqm60KABVLLACSmr,https://api.spotify.com/v1/tracks/4pjFmJaqm60KABVLLACSmr,https://api.spotify.com/v1/audio-analysis/4pjFmJaqm60KABVLLACSmr,291708,4,Killed Our Love,spotify:track:4pjFmJaqm60KABVLLACSmr,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
2,0.613,0.378,0,-9.493,1,0.0277,0.268,0.0805,0.0765,0.23,86.673,audio_features,6C0wbB5MMFHgTPyWuZoLV4,spotify:track:6C0wbB5MMFHgTPyWuZoLV4,https://api.spotify.com/v1/tracks/6C0wbB5MMFHgTPyWuZoLV4,https://api.spotify.com/v1/audio-analysis/6C0wbB5MMFHgTPyWuZoLV4,214898,4,Sounds Of Blue,spotify:track:6C0wbB5MMFHgTPyWuZoLV4,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
3,0.403,0.218,0,-13.483,1,0.031,0.844,7.84e-06,0.106,0.412,145.773,audio_features,2x4Q1fgntSN4m109uDsGgg,spotify:track:2x4Q1fgntSN4m109uDsGgg,https://api.spotify.com/v1/tracks/2x4Q1fgntSN4m109uDsGgg,https://api.spotify.com/v1/audio-analysis/2x4Q1fgntSN4m109uDsGgg,233999,4,Say It's Over,spotify:track:2x4Q1fgntSN4m109uDsGgg,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
4,0.519,0.744,5,-5.796,0,0.0404,0.00132,0.889,0.164,0.533,164.044,audio_features,4806td6ZAmPHKFTvWkhaRw,spotify:track:4806td6ZAmPHKFTvWkhaRw,https://api.spotify.com/v1/tracks/4806td6ZAmPHKFTvWkhaRw,https://api.spotify.com/v1/audio-analysis/4806td6ZAmPHKFTvWkhaRw,193399,4,Sulphur Soul,spotify:track:4806td6ZAmPHKFTvWkhaRw,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
5,0.604,0.491,11,-9.984,0,0.0275,0.153,0.413,0.153,0.328,120.005,audio_features,4AialeEfimWiHV0oIVhIlM,spotify:track:4AialeEfimWiHV0oIVhIlM,https://api.spotify.com/v1/tracks/4AialeEfimWiHV0oIVhIlM,https://api.spotify.com/v1/audio-analysis/4AialeEfimWiHV0oIVhIlM,413206,4,Oh Oh Yeah,spotify:track:4AialeEfimWiHV0oIVhIlM,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
6,0.595,0.465,1,-10.451,1,0.0273,0.274,0.0458,0.333,0.242,90.005,audio_features,7edPIUzoHCOyzh5q6BFN9u,spotify:track:7edPIUzoHCOyzh5q6BFN9u,https://api.spotify.com/v1/tracks/7edPIUzoHCOyzh5q6BFN9u,https://api.spotify.com/v1/audio-analysis/7edPIUzoHCOyzh5q6BFN9u,233632,4,Namaste,spotify:track:7edPIUzoHCOyzh5q6BFN9u,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
7,0.538,0.582,7,-6.914,0,0.0252,0.00312,0.0621,0.372,0.128,142.07,audio_features,6qPtvl3lRT4EddUI7QK9uR,spotify:track:6qPtvl3lRT4EddUI7QK9uR,https://api.spotify.com/v1/tracks/6qPtvl3lRT4EddUI7QK9uR,https://api.spotify.com/v1/audio-analysis/6qPtvl3lRT4EddUI7QK9uR,208849,4,The Moon,spotify:track:6qPtvl3lRT4EddUI7QK9uR,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
8,0.39,0.416,0,-10.254,0,0.026,0.211,0.694,0.107,0.14,147.989,audio_features,57xr2ueC0aixL6ZOHDejBC,spotify:track:57xr2ueC0aixL6ZOHDejBC,https://api.spotify.com/v1/tracks/57xr2ueC0aixL6ZOHDejBC,https://api.spotify.com/v1/audio-analysis/57xr2ueC0aixL6ZOHDejBC,191007,4,Falling Skies,spotify:track:57xr2ueC0aixL6ZOHDejBC,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
9,0.635,0.58,9,-9.357,1,0.0325,0.0117,0.579,0.411,0.156,97.956,audio_features,3WWpThHUMzS3Vhc2yUkdoZ,spotify:track:3WWpThHUMzS3Vhc2yUkdoZ,https://api.spotify.com/v1/tracks/3WWpThHUMzS3Vhc2yUkdoZ,https://api.spotify.com/v1/audio-analysis/3WWpThHUMzS3Vhc2yUkdoZ,316201,4,The Edge Of The World,spotify:track:3WWpThHUMzS3Vhc2yUkdoZ,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
10,0.691,0.456,6,-7.979,0,0.0306,0.0373,0.231,0.129,0.261,142.0,audio_features,1zGAvuqhwRvtkmlHr3ayHs,spotify:track:1zGAvuqhwRvtkmlHr3ayHs,https://api.spotify.com/v1/tracks/1zGAvuqhwRvtkmlHr3ayHs,https://api.spotify.com/v1/audio-analysis/1zGAvuqhwRvtkmlHr3ayHs,225440,4,Never Undo,spotify:track:1zGAvuqhwRvtkmlHr3ayHs,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
11,0.631,0.866,0,-6.624,1,0.0414,0.15,0.00361,0.113,0.435,88.004,audio_features,2RrMisvYljjk50PnCEMijs,spotify:track:2RrMisvYljjk50PnCEMijs,https://api.spotify.com/v1/tracks/2RrMisvYljjk50PnCEMijs,https://api.spotify.com/v1/audio-analysis/2RrMisvYljjk50PnCEMijs,244293,4,Blaze Away,spotify:track:2RrMisvYljjk50PnCEMijs,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
12,0.521,0.81,5,-7.761,1,0.0357,0.0109,0.159,0.302,0.751,180.157,audio_features,7wCwgizE6N7qChdOrC39O4,spotify:track:7wCwgizE6N7qChdOrC39O4,https://api.spotify.com/v1/tracks/7wCwgizE6N7qChdOrC39O4,https://api.spotify.com/v1/audio-analysis/7wCwgizE6N7qChdOrC39O4,229373,4,Love Dub,spotify:track:7wCwgizE6N7qChdOrC39O4,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
13,0.734,0.657,9,-6.195,0,0.0274,0.149,0.00161,0.0823,0.363,107.018,audio_features,6m0u1EduovsJVm5p6kgmZr,spotify:track:6m0u1EduovsJVm5p6kgmZr,https://api.spotify.com/v1/tracks/6m0u1EduovsJVm5p6kgmZr,https://api.spotify.com/v1/audio-analysis/6m0u1EduovsJVm5p6kgmZr,218520,4,It's Summertime - Original Mix,spotify:track:6m0u1EduovsJVm5p6kgmZr,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
14,0.418,0.131,9,-13.034,0,0.0349,0.968,4.03e-05,0.101,0.221,131.111,audio_features,5H4W1JV1Lud7DhVt6pWSps,spotify:track:5H4W1JV1Lud7DhVt6pWSps,https://api.spotify.com/v1/tracks/5H4W1JV1Lud7DhVt6pWSps,https://api.spotify.com/v1/audio-analysis/5H4W1JV1Lud7DhVt6pWSps,161867,4,Sweet L.A.,spotify:track:5H4W1JV1Lud7DhVt6pWSps,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
15,0.661,0.721,5,-7.808,1,0.0432,0.132,0.563,0.287,0.373,104.978,audio_features,4gQ91VSILgTUeS0kqCLIap,spotify:track:4gQ91VSILgTUeS0kqCLIap,https://api.spotify.com/v1/tracks/4gQ91VSILgTUeS0kqCLIap,https://api.spotify.com/v1/audio-analysis/4gQ91VSILgTUeS0kqCLIap,273467,4,Paris sur Mer,spotify:track:4gQ91VSILgTUeS0kqCLIap,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
16,0.556,0.481,9,-8.146,1,0.0236,0.103,0.000291,0.224,0.267,84.003,audio_features,3K3iH0OswHKf5pRcs5Ivjs,spotify:track:3K3iH0OswHKf5pRcs5Ivjs,https://api.spotify.com/v1/tracks/3K3iH0OswHKf5pRcs5Ivjs,https://api.spotify.com/v1/audio-analysis/3K3iH0OswHKf5pRcs5Ivjs,210547,4,Find Another Way,spotify:track:3K3iH0OswHKf5pRcs5Ivjs,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
17,0.731,0.76,5,-8.138,0,0.0561,0.0524,0.686,0.114,0.559,136.998,audio_features,7DoAE2cPwc23miD1mdQnBW,spotify:track:7DoAE2cPwc23miD1mdQnBW,https://api.spotify.com/v1/tracks/7DoAE2cPwc23miD1mdQnBW,https://api.spotify.com/v1/audio-analysis/7DoAE2cPwc23miD1mdQnBW,207320,4,Set Your Sails,spotify:track:7DoAE2cPwc23miD1mdQnBW,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
18,0.389,0.305,2,-10.692,1,0.0265,0.842,0.631,0.0961,0.085,85.728,audio_features,5dMtHpNCrLqMBhehIL6NyX,spotify:track:5dMtHpNCrLqMBhehIL6NyX,https://api.spotify.com/v1/tracks/5dMtHpNCrLqMBhehIL6NyX,https://api.spotify.com/v1/audio-analysis/5dMtHpNCrLqMBhehIL6NyX,63587,4,Free of Debris,spotify:track:5dMtHpNCrLqMBhehIL6NyX,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
19,0.505,0.561,7,-7.187,1,0.0266,0.303,0.872,0.104,0.272,83.998,audio_features,6LuASetNu05XugsNN0RQ7n,spotify:track:6LuASetNu05XugsNN0RQ7n,https://api.spotify.com/v1/tracks/6LuASetNu05XugsNN0RQ7n,https://api.spotify.com/v1/audio-analysis/6LuASetNu05XugsNN0RQ7n,285707,4,Mezcal Dream,spotify:track:6LuASetNu05XugsNN0RQ7n,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
20,0.653,0.341,7,-14.029,1,0.0574,0.791,0.901,0.106,0.275,171.973,audio_features,361zhL07R8jq5hkxwYgt9i,spotify:track:361zhL07R8jq5hkxwYgt9i,https://api.spotify.com/v1/tracks/361zhL07R8jq5hkxwYgt9i,https://api.spotify.com/v1/audio-analysis/361zhL07R8jq5hkxwYgt9i,314000,4,Free of Debris - Kelpe Remix,spotify:track:361zhL07R8jq5hkxwYgt9i,Morcheeba,6bWxFw65IEJzBYjx3SxUXd
